,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,PACKAGE,START_DATE,END_DATE,CURENT_FLAG
14,112,Jose Manuel,Urman,JMURMAN,5151244469,07-03-2006,FI_ACCOUNT,7800, - ,108,100,93600,19-12-2022 863595,31-12-9999 000000,Y
15,113,Luis,Popp,LPOPP,5151244567,07-12-2007,FI_ACCOUNT,6900, - ,108,100,82800,19-12-2022 863595,31-12-9999 000000,Y
16,114,Den,Raphaely,DRAPHEAL,5151274561,07-12-2002,PU_MAN,11000, - ,100,30,132000,19-12-2022 863595,31-12-9999 000000,Y
17,115,Alexander,Khoo,AKHOO,5151274562,18-05-2003,PU_CLERK,3100, - ,114,30,37200,19-12-2022 863595,31-12-9999 000000,Y
18,116,Shelli,Baida,SBAIDA,5151274563,24-12-2005,PU_CLERK,2900, - ,114,30,34800,19-12-2022 863595,31-12-9999 000000,Y
19,117,Sigal,Tobias,STOBIAS,5151274564,24-07-2005,PU_CLERK,2800, - ,114,30,33600,19-12-2022 863595,31-12-9999 000000,Y
20,118,Guy,Himuro,GHIMURO,5151274565,15-11-2006,PU_CLERK,2600, - ,114,30,31200,19-12-2022 863595,31-12-9999 000000,Y
21,119,Karen,Colmenares,KCOLMENA,5151274566,10-08-2007,PU_CLERK,2500, - ,114,30,30000,19-12-2022 863595,31-12-9999 000000,Y
22,120,Matthew,Weiss,MWEISS,6501231234,18-07-2004,ST_MAN,8000, - ,100,50,96000,19-12-2022 863595,31-12-9999 000000,Y
23,121,Adam,Fripp,AFRIPP,6501232234,10-04-2005,ST_MAN,8200, - ,100,50,98400,19-12-2022 863595,31-12-9999 000000,Y
24,122,Payam,Kaufling,PKAUFLIN,6501233234,01-05-2003,ST_MAN,7900, - ,100,50,94800,19-12-2022 863595,31-12-9999 000000,Y
25,123,Shanta,Vollman,SVOLLMAN,6501234234,10-10-2005,ST_MAN,6500, - ,100,50,78000,19-12-2022 863595,31-12-9999 000000,Y
26,124,Kevin,Mourgos,KMOURGOS,6501235234,16-11-2007,ST_MAN,5800, - ,100,50,69600,19-12-2022 863595,31-12-9999 000000,Y
27,125,Julia,Nayer,JNAYER,6501241214,16-07-2005,ST_CLERK,3200, - ,120,50,38400,19-12-2022 863595,31-12-9999 000000,Y
28,126,Irene,Mikkilineni,IMIKKILI,6501241224,28-09-2006,ST_CLERK,2700, - ,120,50,32400,19-12-2022 863595,31-12-9999 000000,Y
29,127,James,Landry,JLANDRY,6501241334,14-01-2007,ST_CLERK,2400, - ,120,50,28800,19-12-2022 863595,31-12-9999 000000,Y
30,128,Steven,Markle,SMARKLE,6501241434,08-03-2008,ST_CLERK,2200, - ,120,50,26400,19-12-2022 863595,31-12-9999 000000,Y
31,129,Laura,Bissot,LBISSOT,6501245234,20-08-2005,ST_CLERK,3300, - ,121,50,39600,19-12-2022 863595,31-12-9999 000000,Y
32,130,Mozhe,Atkinson,MATKINSO,6501246234,30-10-2005,ST_CLERK,2800, - ,121,50,33600,19-12-2022 863595,31-12-9999 000000,Y
33,131,James,Marlow,JAMRLOW,6501247234,16-02-2005,ST_CLERK,2500, - ,121,50,30000,19-12-2022 863595,31-12-9999 000000,Y
34,132,TJ,Olson,TJOLSON,6501248234,10-04-2007,ST_CLERK,2100, - ,121,50,25200,19-12-2022 863595,31-12-9999 000000,Y
35,133,Jason,Mallin,JMALLIN,6501271934,14-06-2004,ST_CLERK,3300, - ,122,50,39600,19-12-2022 863595,31-12-9999 000000,Y
36,134,Michael,Rogers,MROGERS,6501271834,26-08-2006,ST_CLERK,2900, - ,122,50,34800,19-12-2022 863595,31-12-9999 000000,Y
37,135,Ki,Gee,KGEE,6501271734,12-12-2007,ST_CLERK,2400, - ,122,50,28800,19-12-2022 863595,31-12-9999 000000,Y
38,136,Hazel,Philtanker,HPHILTAN,6501271634,06-02-2008,ST_CLERK,2200, - ,122,50,26400,19-12-2022 863595,31-12-9999 000000,Y
39,137,Renske,Ladwig,RLADWIG,6501211234,14-07-2003,ST_CLERK,3600, - ,123,50,43200,19-12-2022 863595,31-12-9999 000000,Y
40,138,Stephen,Stiles,SSTILES,6501212034,26-10-2005,ST_CLERK,3200, - ,123,50,38400,19-12-2022 863595,31-12-9999 000000,Y
41,139,John,Seo,JSEO,6501212019,12-02-2006,ST_CLERK,2700, - ,123,50,32400,19-12-2022 863595,31-12-9999 000000,Y
42,140,Joshua,Patel,JPATEL,6501211834,06-04-2006,ST_CLERK,2500, - ,123,50,30000,19-12-2022 863595,31-12-9999 000000,Y
43,198,Donald,OConnell,DOCONNEL,6505079833,21-06-2007,SH_CLERK,2600, - ,124,50,31200,19-12-2022 863595,31-12-9999 000000,Y
44,199,Douglas,Grant,DGRANT,6505079844,13-01-2008,SH_CLERK,2600, - ,124,50,31200,19-12-2022 863595,31-12-9999 000000,Y
45,200,Jennifer,Whalen,JWHALEN,5151234444,17-09-2003,AD_ASST,4400, - ,101,10,52800,19-12-2022 863595,31-12-9999 000000,Y
46,201,Michael,Hartstein,MHARTSTE,5151235555,17-02-2004,MK_MAN,13000, - ,100,20,156000,19-12-2022 863595,31-12-9999 000000,Y
47,202,Pat,Fay,PFAY,6031236666,17-08-2005,MK_REP,6000, - ,201,20,72000,19-12-2022 863595,31-12-9999 000000,Y
48,203,Susan,Mavris,SMAVRIS,5151237777,07-06-2002,HR_REP,6500, - ,101,40,78000,19-12-2022 863595,31-12-9999 000000,Y
49,204,Hermann,Baer,HBAER,5151238888,07-06-2002,PR_REP,10000, - ,101,70,120000,19-12-2022 863595,31-12-9999 000000,Y
50,205,Shelley,Higgins,SHIGGINS,5151238080,07-06-2002,AC_MGR,12008, - ,101,110,144096,19-12-2022 863595,31-12-9999 000000,Y
51,206,William,Gietz,WGIETZ,5151238181,07-06-2002,AC_ACCOUNT,8300, - ,205,110,99600,19-12-2022 863595,19-12-2022 493117,Y
52,333,Steven,Markle,SMARKLE,6501241434,08-03-2008,ST_CLERK,2200, - ,120,50,26400,19-12-2022 642823,19-12-2022 848657,Y
